1,0,2
4,2,2
6,4,2
9,6,2
15,8,2
16,10,2
26,12,2
27,14,2
34,16,2
38,18,2
43,20,2
48,22,2
50,24,2
53,26,2
54,28,2
55,30,2
59,32,2
60,34,2
61,36,2
64,38,2
67,40,2
68,42,2
69,44,2
71,46,2
74,48,2
75,50,2
77,52,2
78,54,2
81,56,2
84,58,2
86,60,2
88,62,2
90,64,2
91,66,2
92,68,2
94,70,2
100,72,3
101,75,3
102,78,3
103,81,3
104,84,3
105,87,3
106,90,3
107,93,3
108,96,3
109,99,3
110,102,3
111,105,3
112,108,3
113,111,3
114,114,3
115,117,3
116,120,3
117,123,3
118,126,3
119,129,3
120,132,3
121,135,3
122,138,3
123,141,3
124,144,3
125,147,3
126,150,3
127,153,3
128,156,3
129,159,3
130,162,3
131,165,3
132,168,3
133,171,3
134,174,3
135,177,3
136,180,3
137,183,3
138,186,3
139,189,3
140,192,3
