0,0,3
1,3,2
2,5,2
3,7,2
4,9,2
5,11,2
6,13,2
7,15,3
8,18,2
11,20,2
16,22,3
24,25,3
32,28,3
38,31,3
46,34,3
54,37,3
60,40,3
64,43,3
65,46,2
69,48,3
72,51,2
75,53,3
81,56,3
87,59,3
93,62,3
97,65,3
101,68,3
102,71,2
105,73,3
108,76,2
109,78,3
113,81,3
116,84,3
119,87,3
122,90,3
125,93,3
128,96,3
131,99,3
132,102,2
133,104,2
135,106,2
136,108,3
141,111,3
146,114,3
147,117,2
152,119,3
157,122,3
158,125,2
162,127,3
167,130,3
172,133,3
175,136,2
177,138,3
183,141,2
184,143,3
190,146,3
195,149,3
199,152,3
200,155,2
204,157,3
209,160,3
214,163,3
218,166,3
222,169,3
226,172,3
228,175,2
231,177,3
234,180,2
237,182,3
242,185,3
247,188,3
252,191,3
253,194,2
258,196,3
264,199,3
269,202,3
274,205,3
279,208,3
284,211,3
285,214,2
290,216,3
296,219,3
297,222,2
303,224,3
310,227,3
311,230,2
318,232,3
325,235,3
331,238,3
336,241,3
342,244,3
348,247,3
354,250,3
355,253,2
360,255,3
364,258,3
365,261,2
369,263,3
373,266,2
376,268,3
383,271,3
390,274,3
397,277,3
403,280,3
408,283,3
413,286,3
417,289,3
418,292,2
422,294,3
427,297,3
428,300,2
432,302,3
437,305,3
438,308,2
443,310,3
449,313,3
455,316,3
456,319,2
461,321,3
468,324,3
474,327,3
475,330,2
480,332,3
486,335,3
492,338,3
498,341,3
504,344,3
505,347,2
511,349,3
518,352,3
519,355,2
526,357,3
534,360,3
541,363,3
547,366,3
553,369,3
554,372,2
560,374,3
561,377,2
567,379,3
574,382,3
581,385,3
588,388,3
594,391,3
600,394,3
606,397,3
611,400,3
616,403,3
617,406,2
622,408,3
623,411,2
624,413,2
629,415,3
631,418,2
636,420,3
642,423,3
650,426,3
651,429,2
658,431,3
666,434,3
667,437,2
675,439,3
683,442,3
691,445,3
693,448,2
700,450,3
701,453,2
708,455,2
711,457,3
720,460,3
729,463,3
730,466,2
738,468,3
747,471,3
748,474,2
749,476,2
756,478,3
764,481,3
771,484,3
777,487,3
779,490,2
781,492,2
784,494,3
790,497,3
796,500,3
803,503,3
806,506,2
811,508,3
818,511,3
819,514,2
826,516,3
827,519,2
834,521,3
842,524,3
849,527,3
853,530,2
856,532,3
857,535,2
861,537,2
863,539,3
869,542,3
873,545,3
877,548,3
881,551,3
885,554,3
889,557,3
891,560,2
894,562,3
898,565,3
902,568,3
906,571,3
909,574,3
911,577,2
913,579,3
917,582,3
920,585,3
923,588,3
926,591,3
929,594,3
932,597,3
934,600,3
936,603,3
937,606,3
938,609,3
939,612,3
940,615,3
941,618,3
942,621,3
943,624,3
944,627,3
945,630,3
946,633,3
948,636,3
951,639,3
954,642,3
958,645,3
962,648,3
967,651,3
970,654,3
974,657,3
978,660,3
981,663,3
985,666,3
988,669,3
991,672,3
995,675,3
998,678,3
1002,681,3
1006,684,3
1009,687,3
1013,690,3
1017,693,3
1022,696,3
1027,699,3
1031,702,3
1035,705,3
1038,708,3
1042,711,3
1043,714,2
1047,716,3
1049,719,2
1052,721,3
1060,724,3
1068,727,3
1076,730,3
1083,733,3
1090,736,3
1096,739,3
1097,742,2
1103,744,3
1109,747,3
1110,750,2
1116,752,3
1123,755,3
1130,758,3
1137,761,3
1144,764,3
1150,767,3
1151,770,2
1156,772,3
1160,775,2
1163,777,3
1169,780,3
1175,783,3
1181,786,3
1182,789,2
1187,791,3
1190,794,2
1191,796,2
1195,798,3
1199,801,2
1200,803,3
1202,806,2
1206,808,3
1210,811,2
1213,813,2
1214,815,3
1222,818,3
1230,821,3
1238,824,3
1245,827,3
1250,830,3
1255,833,3
1260,836,3
1265,839,3
1270,842,3
1275,845,3
1279,848,3
1282,851,3
1285,854,3
1288,857,3
1291,860,3
1292,863,3
1293,866,3
1294,869,3
1295,872,3
1296,875,3
1297,878,3
1298,881,3
1299,884,3
1300,887,3
1302,890,3
1305,893,3
1309,896,3
1316,899,3
1323,902,3
1329,905,3
1335,908,3
1342,911,3
1349,914,3
1355,917,3
1360,920,3
1364,923,3
1368,926,3
1372,929,3
1376,932,3
1380,935,3
1384,938,3
1387,941,3
1390,944,3
1392,947,3
1395,950,3
1399,953,3
1403,956,3
1407,959,3
1411,962,3
1415,965,3
1418,968,3
1420,971,3
1422,974,3
1425,977,3
1426,980,2
1430,982,2
1431,984,3
1436,987,3
1442,990,3
1445,993,3
1450,996,3
1451,999,2
1456,1001,3
1457,1004,2
1462,1006,3
1467,1009,3
1473,1012,3
1479,1015,3
1482,1018,2
1485,1020,3
1491,1023,3
1497,1026,3
1503,1029,3
1509,1032,3
1515,1035,3
1521,1038,3
1526,1041,3
1531,1044,3
1536,1047,3
1540,1050,3
1543,1053,3
1546,1056,3
1549,1059,3
1552,1062,3
1554,1065,3
1556,1068,3
1557,1071,3
1558,1074,3
1559,1077,3
1560,1080,3
1561,1083,2
1562,1085,3
1564,1088,3
1566,1091,3
1568,1094,3
1571,1097,3
1573,1100,3
1577,1103,3
1581,1106,2
1582,1108,3
1587,1111,3
1593,1114,3
1599,1117,3
1604,1120,3
1608,1123,2
1611,1125,3
1616,1128,3
1621,1131,3
1626,1134,3
1630,1137,3
1636,1140,3
1642,1143,3
1647,1146,3
1652,1149,3
1655,1152,3
1660,1155,3
1665,1158,3
1670,1161,3
1675,1164,3
1680,1167,3
1686,1170,3
1692,1173,3
1697,1176,3
1702,1179,3
1707,1182,3
1713,1185,3
1719,1188,3
1725,1191,3
1732,1194,3
1737,1197,3
1741,1200,3
1747,1203,3
1754,1206,3
1761,1209,3
1768,1212,3
1775,1215,3
1781,1218,3
1786,1221,3
1791,1224,3
1796,1227,3
1801,1230,3
1806,1233,3
1812,1236,3
1817,1239,3
1823,1242,3
1830,1245,3
1837,1248,3
1844,1251,3
1852,1254,3
1860,1257,3
1867,1260,3
1874,1263,3
1881,1266,3
1888,1269,3
1889,1272,2
1896,1274,3
1904,1277,3
1912,1280,3
1913,1283,2
1921,1285,3
